angler1,alt1,angler2,alt2,fish,alive,big_bass,weight,penalty,final_weight
Kevin Kibbee,-,Roger Kibbee,-,5,5,-,15.87,,15.87
Jake Lantz,-,Chris Kirkley,-,5,5,-,14.52,,14.52
Mike Vacanti,-,Kelly Ross,-,5,5,-,14.38,,14.38
Jesse Cornell,Doug Smith,Scott Smith,-,5,4,5.43,13.49,0.5,12.99
Tommy Dillon,-,Troy Dillon,-,5,5,-,12.79,,12.79
Brooks Linnebur,-,Caleb Toubia,-,5,5,-,12.15,,12.15
Brad Weiss,-,Tim Merkh,-,5,5,-,11.87,,11.87
Matt Wright,Dustin Abel,Tyler Regier,-,4,4,-,9.46,,9.46
Kyle Simmons,-,Brett Halstead,-,1,1,-,2.5,,2.5
Jack McMahon,-,Jackson Marinella,-,-,-,-,0,,0
